questionId,optionId,dimensionCode,subdimensionCode,variantType,primarySignal,secondarySignals,primaryAxisContribution,secondaryAxisModifiers,signalStrength,confidenceBand,sensitivityHandling,reviewRouting,crossFamilyHandling,safetyNotes,correctionNotes
Q003,A,DR,DR_STARTING_POINT,social_contextual,small_start,social_modulation,"[social_context_modulation_axis] + [rhythm_structure_axis, social_distance_axis]",social_modulation: cross-family auxiliary modifier; does not create independent subdimension conclusion,2,M,private_low,needs_review,modifier_only,no_reply_or_contact_advice,unchanged
Q003,B,DR,DR_STARTING_POINT,social_contextual,delayed_entry,none,[social_context_modulation_axis] + [rhythm_structure_axis],none,2,M,public_safe,none,native_source_contribution,internal_private_no_public_copy,unchanged
Q003,C,DR,DR_STARTING_POINT,social_contextual,contextual_entry,"social_modulation, schedule_reframe","[social_context_modulation_axis] + [rhythm_structure_axis, social_distance_axis]",social_modulation: cross-family auxiliary modifier; does not create independent subdimension conclusion,2,M,private_low,needs_review,modifier_only,no_reply_or_contact_advice,unchanged
Q003,D,DR,DR_STARTING_POINT,social_contextual,socially_triggered_entry,"social_modulation, inner_weight_accumulation","[social_context_modulation_axis] + [rhythm_structure_axis, social_distance_axis, emotional_load_axis]",social_modulation: cross-family auxiliary modifier; does not create independent subdimension conclusion; inner_weight_accumulation: cross-family auxiliary modifier; does not create independent subdimension conclusion,2,M,private_medium,needs_review,modifier_only,non_clinical_emotional_load_boundary; no_reply_or_contact_advice; privacy_routing_not_severity; sensitivity_not_severity,unchanged
Q003,E,DR,DR_STARTING_POINT,social_contextual,preparation_needed,social_modulation,"[social_context_modulation_axis] + [rhythm_structure_axis, social_distance_axis]",social_modulation: cross-family auxiliary modifier; does not create independent subdimension conclusion,2,M,private_low,needs_review,modifier_only,no_reply_or_contact_advice,unchanged
Q004,A,DR,DR_STARTING_POINT,recovery_adjustment,small_start,"transition_reentry, method_shift","[recovery_adjustment_axis] + [rhythm_structure_axis, recovery_margin_axis]",method_shift: cross-family auxiliary modifier; does not create independent subdimension conclusion,2,M,public_safe,needs_review,modifier_only,no_therapy_or_wellness_prescription; confidence_not_intensity,"DR/CL high-strength recalibrated from 3 to 2 because evidence is contextual, broad, modifier-heavy, or cross-family contained; confidenceBand decoupled from signalStrength: H -> M; reviewRouting recalibrated: none -> needs_review; routing is privacy review, not score"
Q004,B,DR,DR_STARTING_POINT,recovery_adjustment,delayed_entry,"schedule_reframe, transition_reentry, method_shift","[recovery_adjustment_axis] + [rhythm_structure_axis, recovery_margin_axis]",method_shift: cross-family auxiliary modifier; does not create independent subdimension conclusion,2,M,public_safe,needs_review,modifier_only,no_therapy_or_wellness_prescription; confidence_not_intensity,"DR/CL high-strength recalibrated from 3 to 2 because evidence is contextual, broad, modifier-heavy, or cross-family contained; confidenceBand decoupled from signalStrength: H -> M; reviewRouting recalibrated: none -> needs_review; routing is privacy review, not score"
Q004,C,DR,DR_STARTING_POINT,recovery_adjustment,contextual_entry,"social_start_support, social_modulation, schedule_reframe","[recovery_adjustment_axis, social_context_modulation_axis] + [rhythm_structure_axis, action_entry_axis, social_distance_axis]",social_start_support: cross-family auxiliary modifier; does not create independent subdimension conclusion; social_modulation: cross-family auxiliary modifier; does not create independent subdimension conclusion,2,M,private_low,needs_review,modifier_only,no_reply_or_contact_advice; confidence_not_intensity,"DR/CL high-strength recalibrated from 3 to 2 because evidence is contextual, broad, modifier-heavy, or cross-family contained; confidenceBand decoupled from signalStrength: H -> M"
Q004,D,DR,DR_STARTING_POINT,recovery_adjustment,socially_triggered_entry,method_shift,"[recovery_adjustment_axis] + [rhythm_structure_axis, recovery_margin_axis]",method_shift: cross-family auxiliary modifier; does not create independent subdimension conclusion,2,M,public_safe,needs_review,modifier_only,no_therapy_or_wellness_prescription; confidence_not_intensity,"DR/CL high-strength recalibrated from 3 to 2 because evidence is contextual, broad, modifier-heavy, or cross-family contained; confidenceBand decoupled from signalStrength: H -> M; reviewRouting recalibrated: none -> needs_review; routing is privacy review, not score"
Q004,E,DR,DR_STARTING_POINT,recovery_adjustment,preparation_needed,"schedule_reframe, transition_reentry, method_shift","[recovery_adjustment_axis] + [rhythm_structure_axis, recovery_margin_axis]",method_shift: cross-family auxiliary modifier; does not create independent subdimension conclusion,2,M,public_safe,needs_review,modifier_only,no_therapy_or_wellness_prescription; confidence_not_intensity,"DR/CL high-strength recalibrated from 3 to 2 because evidence is contextual, broad, modifier-heavy, or cross-family contained; confidenceBand decoupled from signalStrength: H -> M; reviewRouting recalibrated: none -> needs_review; routing is privacy review, not score"
Q005,A,DR,DR_STARTING_POINT,reflection_revisit,small_start,"later_review, self_observation_strength","[awareness_reflection_axis] + [rhythm_structure_axis, awareness_reflection_axis]",later_review: cross-family auxiliary modifier; does not create independent subdimension conclusion; self_observation_strength: cross-family auxiliary modifier; does not create independent subdimension conclusion,2,M,private_low,needs_review,modifier_only,no_maturity_superiority_fixed_identity_or_compliance_framing,unchanged
Q005,B,DR,DR_STARTING_POINT,reflection_revisit,delayed_entry,"criteria_awareness, later_review, self_observation_strength","[awareness_reflection_axis] + [rhythm_structure_axis, clarity_decision_axis, awareness_reflection_axis]",criteria_awareness: cross-family auxiliary modifier; does not create independent subdimension conclusion; later_review: cross-family auxiliary modifier; does not create independent subdimension conclusion; self_observation_strength: cross-family auxiliary modifier; does not create independent subdimension conclusion,2,M,private_low,needs_review,modifier_only,no_maturity_superiority_fixed_identity_or_compliance_framing,unchanged
Q005,C,DR,DR_STARTING_POINT,reflection_revisit,contextual_entry,"social_modulation, continuation_by_marker, later_review","[awareness_reflection_axis, social_context_modulation_axis] + [rhythm_structure_axis, social_distance_axis, action_entry_axis, awareness_reflection_axis]",social_modulation: cross-family auxiliary modifier; does not create independent subdimension conclusion; continuation_by_marker: cross-family auxiliary modifier; does not create independent subdimension conclusion; later_review: cross-family auxiliary modifier; does not create independent subdimension conclusion,2,M,private_low,needs_review,modifier_only,no_reply_or_contact_advice; no_maturity_superiority_fixed_identity_or_compliance_framing,unchanged
Q005,D,DR,DR_STARTING_POINT,reflection_revisit,socially_triggered_entry,"inner_weight_accumulation, later_review, self_observation_strength","[awareness_reflection_axis] + [rhythm_structure_axis, emotional_load_axis, awareness_reflection_axis]",inner_weight_accumulation: cross-family auxiliary modifier; does not create independent subdimension conclusion; later_review: cross-family auxiliary modifier; does not create independent subdimension conclusion; self_observation_strength: cross-family auxiliary modifier; does not create independent subdimension conclusion,2,M,private_medium,needs_review,modifier_only,non_clinical_emotional_load_boundary; no_maturity_superiority_fixed_identity_or_compliance_framing; privacy_routing_not_severity; sensitivity_not_severity,unchanged
Q005,E,DR,DR_STARTING_POINT,reflection_revisit,preparation_needed,"load_externalization, later_review, self_observation_strength","[awareness_reflection_axis] + [rhythm_structure_axis, emotional_load_axis, awareness_reflection_axis]",load_externalization: cross-family auxiliary modifier; does not create independent subdimension conclusion; later_review: cross-family auxiliary modifier; does not create independent subdimension conclusion; self_observation_strength: cross-family auxiliary modifier; does not create independent subdimension conclusion,2,M,private_medium,needs_review,modifier_only,non_clinical_emotional_load_boundary; no_maturity_superiority_fixed_identity_or_compliance_framing; privacy_routing_not_severity; sensitivity_not_severity,unchanged
Q006,A,DR,DR_TRANSITION,core_behavior,transition_buffer,"continuation_by_marker, transition_reentry","[baseline_tendency_axis] + [rhythm_structure_axis, action_entry_axis]",continuation_by_marker: cross-family auxiliary modifier; does not create independent subdimension conclusion,2,M,public_safe,none,modifier_only,internal_private_no_public_copy; confidence_not_intensity,"DR/CL high-strength recalibrated from 3 to 2 because evidence is contextual, broad, modifier-heavy, or cross-family contained; confidenceBand decoupled from signalStrength: H -> M"
Q006,B,DR,DR_TRANSITION,core_behavior,post_event_residue,none,[baseline_tendency_axis] + [emotional_load_axis],post_event_residue: cross-family auxiliary modifier; does not create independent subdimension conclusion,1,L,private_medium,needs_human_review_sensitive,source_bounded_cross_family_primary,non_clinical_emotional_load_boundary; source_context_content_axis_required; privacy_routing_not_severity; sourceContextContentAxis_preserved; no_independent_cross_dimension_score; sensitivity_not_severity,"cross-family containment note added; reviewRouting recalibrated: needs_review -> needs_human_review_sensitive; routing is privacy review, not score"
Q006,C,DR,DR_TRANSITION,core_behavior,routine_anchor,"schedule_reframe, transition_reentry",[baseline_tendency_axis] + [rhythm_structure_axis],"modifier_only: schedule_reframe, transition_reentry",2,M,public_safe,none,native_source_contribution,internal_private_no_public_copy; confidence_not_intensity,"DR/CL high-strength recalibrated from 3 to 2 because evidence is contextual, broad, modifier-heavy, or cross-family contained; confidenceBand decoupled from signalStrength: H -> M"
Q006,D,DR,DR_TRANSITION,core_behavior,transition_reentry,inner_weight_accumulation,"[baseline_tendency_axis] + [rhythm_structure_axis, emotional_load_axis]",inner_weight_accumulation: cross-family auxiliary modifier; does not create independent subdimension conclusion,2,M,private_medium,needs_review,modifier_only,non_clinical_emotional_load_boundary; privacy_routing_not_severity; sensitivity_not_severity; confidence_not_intensity,"DR/CL high-strength recalibrated from 3 to 2 because evidence is contextual, broad, modifier-heavy, or cross-family contained; confidenceBand decoupled from signalStrength: H -> M"
Q006,E,DR,DR_TRANSITION,core_behavior,transition_buffer,transition_reentry,[baseline_tendency_axis] + [rhythm_structure_axis],modifier_only: transition_reentry,2,M,public_safe,none,native_source_contribution,internal_private_no_public_copy; confidence_not_intensity,"DR/CL high-strength recalibrated from 3 to 2 because evidence is contextual, broad, modifier-heavy, or cross-family contained; confidenceBand decoupled from signalStrength: H -> M"
Q007,A,DR,DR_TRANSITION,scenario_pressure,transition_buffer,none,[pressure_response_axis] + [rhythm_structure_axis],none,2,M,public_safe,none,native_source_contribution,internal_private_no_public_copy; confidence_not_intensity,"DR/CL high-strength recalibrated from 3 to 2 because evidence is contextual, broad, modifier-heavy, or cross-family contained; confidenceBand decoupled from signalStrength: H -> M"
Q007,B,DR,DR_TRANSITION,scenario_pressure,post_event_residue,none,[pressure_response_axis] + [emotional_load_axis],post_event_residue: cross-family auxiliary modifier; does not create independent subdimension conclusion,1,L,private_medium,needs_human_review_sensitive,source_bounded_cross_family_primary,non_clinical_emotional_load_boundary; source_context_content_axis_required; privacy_routing_not_severity; sourceContextContentAxis_preserved; no_independent_cross_dimension_score; sensitivity_not_severity,"cross-family containment note added; reviewRouting recalibrated: needs_review -> needs_human_review_sensitive; routing is privacy review, not score"
Q007,C,DR,DR_TRANSITION,scenario_pressure,routine_anchor,"criteria_awareness, schedule_reframe, transition_reentry","[pressure_response_axis] + [rhythm_structure_axis, clarity_decision_axis]",criteria_awareness: cross-family auxiliary modifier; does not create independent subdimension conclusion,2,M,public_safe,none,modifier_only,internal_private_no_public_copy; confidence_not_intensity,"DR/CL high-strength recalibrated from 3 to 2 because evidence is contextual, broad, modifier-heavy, or cross-family contained; confidenceBand decoupled from signalStrength: H -> M"
Q007,D,DR,DR_TRANSITION,scenario_pressure,transition_reentry,inner_weight_accumulation,"[pressure_response_axis] + [rhythm_structure_axis, emotional_load_axis]",inner_weight_accumulation: cross-family auxiliary modifier; does not create independent subdimension conclusion,2,M,private_medium,needs_review,modifier_only,non_clinical_emotional_load_boundary; privacy_routing_not_severity; sensitivity_not_severity; confidence_not_intensity,"DR/CL high-strength recalibrated from 3 to 2 because evidence is contextual, broad, modifier-heavy, or cross-family contained; confidenceBand decoupled from signalStrength: H -> M"
Q007,E,DR,DR_TRANSITION,scenario_pressure,transition_buffer,"social_modulation, transition_reentry","[pressure_response_axis, social_context_modulation_axis] + [rhythm_structure_axis, social_distance_axis]",social_modulation: cross-family auxiliary modifier; does not create independent subdimension conclusion,2,M,private_low,needs_review,modifier_only,no_reply_or_contact_advice; confidence_not_intensity,"DR/CL high-strength recalibrated from 3 to 2 because evidence is contextual, broad, modifier-heavy, or cross-family contained; confidenceBand decoupled from signalStrength: H -> M"
Q008,A,DR,DR_TRANSITION,social_contextual,transition_buffer,"social_modulation, schedule_reframe","[social_context_modulation_axis] + [rhythm_structure_axis, social_distance_axis]",social_modulation: cross-family auxiliary modifier; does not create independent subdimension conclusion,2,M,private_low,needs_review,modifier_only,no_reply_or_contact_advice,unchanged
Q008,B,DR,DR_TRANSITION,social_contextual,post_event_residue,inner_weight_accumulation,[social_context_modulation_axis] + [emotional_load_axis],post_event_residue: cross-family auxiliary modifier; does not create independent subdimension conclusion; inner_weight_accumulation: cross-family auxiliary modifier; does not create independent subdimension conclusion,1,L,private_medium,needs_human_review_sensitive,source_bounded_cross_family_primary,non_clinical_emotional_load_boundary; source_context_content_axis_required; privacy_routing_not_severity; sourceContextContentAxis_preserved; no_independent_cross_dimension_score; sensitivity_not_severity,"cross-family containment note added; reviewRouting recalibrated: needs_review -> needs_human_review_sensitive; routing is privacy review, not score"
Q008,C,DR,DR_TRANSITION,social_contextual,routine_anchor,none,[social_context_modulation_axis] + [rhythm_structure_axis],none,2,M,public_safe,none,native_source_contribution,internal_private_no_public_copy,unchanged
Q008,D,DR,DR_TRANSITION,social_contextual,transition_reentry,schedule_reframe,[social_context_modulation_axis] + [rhythm_structure_axis],modifier_only: schedule_reframe,2,M,public_safe,none,native_source_contribution,internal_private_no_public_copy,unchanged
Q008,E,DR,DR_TRANSITION,social_contextual,transition_buffer,none,[social_context_modulation_axis] + [rhythm_structure_axis],none,2,M,public_safe,none,native_source_contribution,internal_private_no_public_copy,unchanged
Q009,A,DR,DR_TRANSITION,recovery_adjustment,transition_buffer,"small_start, transition_reentry, method_shift","[recovery_adjustment_axis] + [rhythm_structure_axis, recovery_margin_axis]",method_shift: cross-family auxiliary modifier; does not create independent subdimension conclusion,2,M,public_safe,needs_review,modifier_only,no_therapy_or_wellness_prescription; confidence_not_intensity,"DR/CL high-strength recalibrated from 3 to 2 because evidence is contextual, broad, modifier-heavy, or cross-family contained; confidenceBand decoupled from signalStrength: H -> M; reviewRouting recalibrated: none -> needs_review; routing is privacy review, not score"
Q009,B,DR,DR_TRANSITION,recovery_adjustment,post_event_residue,"schedule_reframe, method_shift","[recovery_adjustment_axis] + [emotional_load_axis, rhythm_structure_axis, recovery_margin_axis]",post_event_residue: cross-family auxiliary modifier; does not create independent subdimension conclusion; method_shift: cross-family auxiliary modifier; does not create independent subdimension conclusion,1,L,private_medium,needs_human_review_sensitive,source_bounded_cross_family_primary,non_clinical_emotional_load_boundary; no_therapy_or_wellness_prescription; source_context_content_axis_required; privacy_routing_not_severity; sourceContextContentAxis_preserved; no_independent_cross_dimension_score; sensitivity_not_severity,"cross-family containment note added; reviewRouting recalibrated: needs_review -> needs_human_review_sensitive; routing is privacy review, not score"
Q009,C,DR,DR_TRANSITION,recovery_adjustment,routine_anchor,"load_externalization, transition_reentry, method_shift","[recovery_adjustment_axis] + [rhythm_structure_axis, emotional_load_axis, recovery_margin_axis]",load_externalization: cross-family auxiliary modifier; does not create independent subdimension conclusion; method_shift: cross-family auxiliary modifier; does not create independent subdimension conclusion,2,M,private_medium,needs_review,modifier_only,non_clinical_emotional_load_boundary; no_therapy_or_wellness_prescription; privacy_routing_not_severity; sensitivity_not_severity; confidence_not_intensity,"DR/CL high-strength recalibrated from 3 to 2 because evidence is contextual, broad, modifier-heavy, or cross-family contained; confidenceBand decoupled from signalStrength: H -> M"
Q009,D,DR,DR_TRANSITION,recovery_adjustment,transition_reentry,"social_modulation, method_shift","[recovery_adjustment_axis, social_context_modulation_axis] + [rhythm_structure_axis, social_distance_axis, recovery_margin_axis]",social_modulation: cross-family auxiliary modifier; does not create independent subdimension conclusion; method_shift: cross-family auxiliary modifier; does not create independent subdimension conclusion,2,M,private_low,needs_review,modifier_only,no_reply_or_contact_advice; no_therapy_or_wellness_prescription; confidence_not_intensity,"DR/CL high-strength recalibrated from 3 to 2 because evidence is contextual, broad, modifier-heavy, or cross-family contained; confidenceBand decoupled from signalStrength: H -> M"
Q009,E,DR,DR_TRANSITION,recovery_adjustment,transition_buffer,"continuation_by_marker, method_shift","[recovery_adjustment_axis] + [rhythm_structure_axis, action_entry_axis, recovery_margin_axis]",continuation_by_marker: cross-family auxiliary modifier; does not create independent subdimension conclusion; method_shift: cross-family auxiliary modifier; does not create independent subdimension conclusion,2,M,public_safe,needs_review,modifier_only,no_therapy_or_wellness_prescription; confidence_not_intensity,"DR/CL high-strength recalibrated from 3 to 2 because evidence is contextual, broad, modifier-heavy, or cross-family contained; confidenceBand decoupled from signalStrength: H -> M; reviewRouting recalibrated: none -> needs_review; routing is privacy review, not score"
Q010,A,DR,DR_TRANSITION,reflection_revisit,transition_buffer,"continuation_by_marker, later_review, self_observation_strength","[awareness_reflection_axis] + [rhythm_structure_axis, action_entry_axis, awareness_reflection_axis]",continuation_by_marker: cross-family auxiliary modifier; does not create independent subdimension conclusion; later_review: cross-family auxiliary modifier; does not create independent subdimension conclusion; self_observation_strength: cross-family auxiliary modifier; does not create independent subdimension conclusion,2,M,private_low,needs_review,modifier_only,no_maturity_superiority_fixed_identity_or_compliance_framing,unchanged
Q010,B,DR,DR_TRANSITION,reflection_revisit,post_event_residue,"later_review, self_observation_strength","[awareness_reflection_axis] + [emotional_load_axis, awareness_reflection_axis]",post_event_residue: cross-family auxiliary modifier; does not create independent subdimension conclusion; later_review: cross-family auxiliary modifier; does not create independent subdimension conclusion; self_observation_strength: cross-family auxiliary modifier; does not create independent subdimension conclusion,1,L,private_medium,needs_human_review_sensitive,source_bounded_cross_family_primary,non_clinical_emotional_load_boundary; no_maturity_superiority_fixed_identity_or_compliance_framing; source_context_content_axis_required; privacy_routing_not_severity; sourceContextContentAxis_preserved; no_independent_cross_dimension_score; sensitivity_not_severity,"cross-family containment note added; reviewRouting recalibrated: needs_review -> needs_human_review_sensitive; routing is privacy review, not score"
Q010,C,DR,DR_TRANSITION,reflection_revisit,routine_anchor,"later_review, self_observation_strength","[awareness_reflection_axis] + [rhythm_structure_axis, awareness_reflection_axis]",later_review: cross-family auxiliary modifier; does not create independent subdimension conclusion; self_observation_strength: cross-family auxiliary modifier; does not create independent subdimension conclusion,2,M,private_low,needs_review,modifier_only,no_maturity_superiority_fixed_identity_or_compliance_framing,unchanged
Q010,D,DR,DR_TRANSITION,reflection_revisit,transition_reentry,"later_review, self_observation_strength","[awareness_reflection_axis] + [rhythm_structure_axis, awareness_reflection_axis]",later_review: cross-family auxiliary modifier; does not create independent subdimension conclusion; self_observation_strength: cross-family auxiliary modifier; does not create independent subdimension conclusion,2,M,private_low,needs_review,modifier_only,no_maturity_superiority_fixed_identity_or_compliance_framing,unchanged
Q010,E,DR,DR_TRANSITION,reflection_revisit,transition_buffer,"later_review, self_observation_strength","[awareness_reflection_axis] + [rhythm_structure_axis, awareness_reflection_axis]",later_review: cross-family auxiliary modifier; does not create independent subdimension conclusion; self_observation_strength: cross-family auxiliary modifier; does not create independent subdimension conclusion,2,M,private_low,needs_review,modifier_only,no_maturity_superiority_fixed_identity_or_compliance_framing,unchanged
Q011,A,DR,DR_ROUTINE_ANCHOR,core_behavior,routine_anchor,none,[baseline_tendency_axis] + [rhythm_structure_axis],none,3,H,public_safe,none,native_source_contribution,internal_private_no_public_copy,unchanged
Q011,B,DR,DR_ROUTINE_ANCHOR,core_behavior,routine_flexibility,none,[baseline_tendency_axis] + [rhythm_structure_axis],none,3,H,public_safe,none,native_source_contribution,internal_private_no_public_copy,unchanged
Q011,C,DR,DR_ROUTINE_ANCHOR,core_behavior,routine_disruption,none,[baseline_tendency_axis] + [rhythm_structure_axis],none,3,H,public_safe,none,native_source_contribution,internal_private_no_public_copy,unchanged
Q011,D,DR,DR_ROUTINE_ANCHOR,core_behavior,social_rhythm_modulation,"social_modulation, schedule_reframe","[baseline_tendency_axis, social_context_modulation_axis] + [rhythm_structure_axis, social_distance_axis]",social_modulation: cross-family auxiliary modifier; does not create independent subdimension conclusion,2,M,private_low,needs_review,modifier_only,no_reply_or_contact_advice; confidence_not_intensity,"DR/CL high-strength recalibrated from 3 to 2 because evidence is contextual, broad, modifier-heavy, or cross-family contained; confidenceBand decoupled from signalStrength: H -> M"
Q011,E,DR,DR_ROUTINE_ANCHOR,core_behavior,schedule_reframe,none,[baseline_tendency_axis] + [rhythm_structure_axis],none,2,M,public_safe,none,native_source_contribution,internal_private_no_public_copy; confidence_not_intensity,"DR/CL high-strength recalibrated from 3 to 2 because evidence is contextual, broad, modifier-heavy, or cross-family contained; confidenceBand decoupled from signalStrength: H -> M"
Q012,A,DR,DR_ROUTINE_ANCHOR,scenario_pressure,routine_anchor,schedule_reframe,[pressure_response_axis] + [rhythm_structure_axis],modifier_only: schedule_reframe,2,M,public_safe,none,native_source_contribution,internal_private_no_public_copy; confidence_not_intensity,"DR/CL high-strength recalibrated from 3 to 2 because evidence is contextual, broad, modifier-heavy, or cross-family contained; confidenceBand decoupled from signalStrength: H -> M"
Q012,B,DR,DR_ROUTINE_ANCHOR,scenario_pressure,routine_flexibility,none,[pressure_response_axis] + [rhythm_structure_axis],none,3,H,public_safe,none,native_source_contribution,internal_private_no_public_copy,unchanged
Q012,C,DR,DR_ROUTINE_ANCHOR,scenario_pressure,routine_disruption,none,[pressure_response_axis] + [rhythm_structure_axis],none,3,H,public_safe,none,native_source_contribution,internal_private_no_public_copy,unchanged
Q012,D,DR,DR_ROUTINE_ANCHOR,scenario_pressure,social_rhythm_modulation,schedule_reframe,[pressure_response_axis] + [rhythm_structure_axis],modifier_only: schedule_reframe,2,M,public_safe,none,native_source_contribution,internal_private_no_public_copy; confidence_not_intensity,"DR/CL high-strength recalibrated from 3 to 2 because evidence is contextual, broad, modifier-heavy, or cross-family contained; confidenceBand decoupled from signalStrength: H -> M"
Q012,E,DR,DR_ROUTINE_ANCHOR,scenario_pressure,schedule_reframe,none,[pressure_response_axis] + [rhythm_structure_axis],none,2,M,public_safe,none,native_source_contribution,internal_private_no_public_copy; confidence_not_intensity,"DR/CL high-strength recalibrated from 3 to 2 because evidence is contextual, broad, modifier-heavy, or cross-family contained; confidenceBand decoupled from signalStrength: H -> M"
Q013,A,DR,DR_ROUTINE_ANCHOR,social_contextual,routine_anchor,social_modulation,"[social_context_modulation_axis] + [rhythm_structure_axis, social_distance_axis]",social_modulation: cross-family auxiliary modifier; does not create independent subdimension conclusion,2,M,private_low,needs_review,modifier_only,no_reply_or_contact_advice,unchanged
Q013,B,DR,DR_ROUTINE_ANCHOR,social_contextual,routine_flexibility,"social_modulation, schedule_reframe","[social_context_modulation_axis] + [rhythm_structure_axis, social_distance_axis]",social_modulation: cross-family auxiliary modifier; does not create independent subdimension conclusion,2,M,private_low,needs_review,modifier_only,no_reply_or_contact_advice,unchanged
Q013,C,DR,DR_ROUTINE_ANCHOR,social_contextual,routine_disruption,social_modulation,"[social_context_modulation_axis] + [rhythm_structure_axis, social_distance_axis]",social_modulation: cross-family auxiliary modifier; does not create independent subdimension conclusion,2,M,private_low,needs_review,modifier_only,no_reply_or_contact_advice,unchanged
Q013,D,DR,DR_ROUTINE_ANCHOR,social_contextual,social_rhythm_modulation,none,[social_context_modulation_axis] + [rhythm_structure_axis],none,2,M,public_safe,none,native_source_contribution,internal_private_no_public_copy,unchanged
Q013,E,DR,DR_ROUTINE_ANCHOR,social_contextual,schedule_reframe,none,[social_context_modulation_axis] + [rhythm_structure_axis],none,2,M,public_safe,none,native_source_contribution,internal_private_no_public_copy,unchanged
